normalized_part_number,models,model_count,part_number_variants,descriptions,categories,record_count,source_file
AWX-052,QX-747; QX-949,2,AWX-052-0,Lamp assembly; Lamp board assembly,Receiver,2,parts_12.csv
AWX-053,QX-949,1,AWX-053-0,Fuse holder assembly,Receiver,1,parts_12.csv
AWX-054,QX-747; QX-747A; QX-949; QX-949A,4,AWX-054; AWX-054-0,Head phone jack assembly; Headphone jack assembly,Receiver,4,parts_12.csv
AWX-062,SA-8500II; SX-1010; SX-1250; SX-1280; SX-1980; SX-535; SX-636; SX-737; SX-838; SX-850; SX-880/890; SX-939,12,AWX-062; AWX-062-0,5P connector assembly; 5P Connector Assembly; 5P connector assembly (HG/S/SG); 5P connector assembly (S/SG); 5P connector assembly-HG; 5P connector assembly-S; SP CONNECTOR ASSEMBLY; SP connector assembly (SX-880/S); SP connector assembly (SX-880/SG),Integrated Amplifier; Receiver,14,parts_12.csv
AWX-063,Exclusive M3,1,AWX-063-0,Lamp board assembly,Amplifier,1,parts_12.csv
AWX-069,SX-1010; SX-838; SX-939,3,AWX-069-0,Lamp board assembly,Receiver,3,parts_12.csv
AWX-070,SX-838,1,AWX-070-0,Switch & volume circuit assembly,Receiver,1,parts_12.csv
AWX-071,SX-737,1,AWX-071-0,Switch & volume circuit assembly,Receiver,1,parts_12.csv
AWX-072,SX-535; SX-636; SX-737,3,AWX-072-0,Lamp board assembly,Receiver,3,parts_12.csv
AWX-073,SA-9500; SA-9900,2,AWX-073-A,Volume assembly; Volume circuit assembly,Integrated Amplifier,2,parts_12.csv
AWX-081,TX-9500,1,AWX-081-0,Lamp board assembly,Tuner,1,parts_12.csv
AWX-083,SA-9900,1,AWX-083-0,Fuse board assembly,Integrated Amplifier,1,parts_12.csv
AWX-085,SA-9500,1,AWX-085-0,Fuse assembly (GN),Integrated Amplifier,1,parts_12.csv
AWX-086,SA-9500,1,AWX-086-0,Fuse assembly (KCU),Integrated Amplifier,1,parts_12.csv
AWX-087,SA-9900,1,AWX-087-0,Fuse board assembly - D,Integrated Amplifier,1,parts_12.csv
AWX-088,SA-9500,1,AWX-088-0,Fuse assembly (D),Integrated Amplifier,1,parts_12.csv
AWX-089,SA-9900,1,AWX-089-0,Fuse board assembly - GN,Integrated Amplifier,1,parts_12.csv
AWX-091,SPEC-1,1,AWX-091,Fuse board assembly,Pre-Amplifier,1,parts_12.csv
AWX-092,SG-9500,1,AWX-092,VR assembly,Equalizer,1,parts_12.csv
AWX-095,SX-650; SX-850,2,AWX-095,De-Emphasis Switch Assembly (KC/KU); De-emphasis switch assembly (KCU),Receiver,2,parts_12.csv
AWX-096,SX-850; SX-950,2,AWX-096,Lamp board assembly,Receiver,2,parts_12.csv
AWX-097,SX-1250,1,AWX-097,MICROPHONE JACK ASSEMBLY,Receiver,1,parts_12.csv
AWX-098,SX-1050,1,AWX-098,Surge current suppressor assembly,Receiver,1,parts_12.csv
AWX-099,SX-1050; SX-1250,2,AWX-099,De-emphasis SW Assembly (KCU model); De-emphasis switch assembly 2-position (25us/75us) (KCU),Receiver,2,parts_12.csv
AWX-100,SX-650,1,AWX-100,De-emphasis switch assembly (S),Receiver,1,parts_12.csv
AWX-101,SX-1050; SX-1250; SX-850,3,AWX-101,De-Emphasis Assembly (S); De-emphasis SW Assembly (S model); De-emphasis switch assembly 3-position (25us/50us/75us) (S),Receiver,3,parts_12.csv
AWX-104,TX-8500II; TX-9500II,2,AWX-104,Lamp board assembly,Tuner,2,parts_12.csv
AWX-106,SX-650,1,AWX-106,Phone jack assembly,Receiver,1,parts_12.csv
AWX-113,TX-7800; TX-8500II,2,AWX-113,Switch assembly (De-emphasis) S/SG; Switch assembly (S),Tuner,2,parts_12.csv
AWX-114,TX-6500II,1,AWX-114,Switch assembly (S),Tuner,1,parts_12.csv
AWX-124,SX-1980,1,AWX-124,AFC assembly,Receiver,1,parts_12.csv
AWX-125,SX-1080,1,AWX-125,Power transistor connector assembly,Receiver,1,parts_12.csv
AWX-126,SX-1280,1,AWX-126,Fuse assembly (For KU type),Receiver,1,parts_12.csv
AWX-127,SX-1280,1,AWX-127,Resistor assembly,Receiver,1,parts_12.csv
AWX-132,F-28,1,AWX-132,Lamp assembly (KU type); Lamp assembly (S/G type),Tuner,2,parts_12.csv
AWX-134,SX-1280,1,AWX-134,Fuse assembly (S/SG),Receiver,1,parts_12.csv
AWX-135,SA-606,1,AWX-135,"Tone and indicator assembly (S,S/G,HG)",Integrated Amplifier,1,parts_12.csv
AWX-136,SA-6700,1,AWX-136,Tone and indicator assembly,Integrated Amplifier,1,parts_12.csv
AWX-137,SA-606; SA-706,2,AWX-137,DIN connector assembly (HG),Integrated Amplifier,2,parts_12.csv
AWX-139,SX-1280,1,AWX-139,Fuse assembly (For KC type),Receiver,1,parts_12.csv
AWX-145,A-27,1,AWX-145,Surge killer assembly - KU,Integrated Amplifier,1,parts_12.csv
AWX-146,F-28,1,AWX-146,Synthesizer assembly (KU type); Synthesizer assembly (S/G type),Tuner,2,parts_12.csv
AWX-147,F-28,1,AWX-147,Switch assembly (S/G type),Tuner,1,parts_12.csv
AWX-159,TX-7800,1,AWX-159,VR assembly,Tuner,1,parts_12.csv
AWX-164,SR-303,1,AWX-164,Lamp assembly,Reverb,1,parts_12.csv
AWX-200,SX-600; SX-700,2,AWX-200,AM IF assembly; AM IF assembly - KU,Receiver,2,parts_12.csv
AWX-205,A-9,1,AWX-205,Capacitors assembly,Integrated Amplifier,1,parts_12.csv
AWX-212,A-6,1,AWX-212,Composition assembly (Function switch ass’y + Tone control assembly),Integrated Amplifier,1,parts_12.csv
AWX-220,SX-6,1,AWX-220,Control assembly,Receiver,1,parts_12.csv
AWX-223,SX-7,1,AWX-223,Control assembly,Receiver,1,parts_12.csv
AWZ1002,SA-970,1,AWZ1002,AF assembly,Integrated Amplifier,1,parts_12.csv
AWZ1087,GR-551; GR-555,2,AWZ1087,AF assembly,Equalizer,2,parts_12.csv
AWZ1091,GR-551; GR-555,2,AWZ1091,BAND PASS assembly,Equalizer,2,parts_12.csv
AWZ1856,GR-777,1,AWZ1856,FL (L) assembly,Equalizer,1,parts_12.csv
AWZ1857,GR-777,1,AWZ1857,FL (R) assembly,Equalizer,1,parts_12.csv
AWZ2006,GR-777,1,AWZ2006,Main assembly,Equalizer,1,parts_12.csv
AWZ2324,A-858,1,AWZ2324,Power amp assembly,Integrated Amplifier,1,parts_12.csv
AWZ2325,A-858,1,AWZ2325,Power supply assembly,Integrated Amplifier,1,parts_12.csv
AWZ2326,A-858,1,AWZ2326,Speaker term. assembly,Integrated Amplifier,1,parts_12.csv
AWZ2327,A-858,1,AWZ2327,Phono amp assembly,Integrated Amplifier,1,parts_12.csv
AWZ2328,A-858,1,AWZ2328,Headphone assembly,Integrated Amplifier,1,parts_12.csv
AWZ2340,A-858,1,AWZ2340,Speaker switch assembly,Integrated Amplifier,1,parts_12.csv
AWZ2341,A-858,1,AWZ2341,Tone amp assembly,Integrated Amplifier,1,parts_12.csv
AWZ2342,A-858,1,AWZ2342,Rec out assembly,Integrated Amplifier,1,parts_12.csv
AWZ2343,A-858,1,AWZ2343,Input selector assembly,Integrated Amplifier,1,parts_12.csv
AWZ2898,C-72,1,AWZ2898,Control assembly,Pre-Amplifier,1,parts_12.csv
AWZ2900,C-72,1,AWZ2900,Video assembly,Pre-Amplifier,1,parts_12.csv
AXA-003,QX-4000; QX-646; QX-8000; QX-8000A,4,AXA-003-A; AXA-003-B; AXA-003-C,Dial Pulley Ass'y; Dial pulley assembly; Dial pulley ass’y; Tuning pulley ass'y,Receiver,4,parts_12.csv
AXA-006,SX-450,1,AXA-006,Tuning drum assembly,Receiver,1,parts_12.csv
AXA-007,SX-6000,1,AXA-007-A,Dial Shaft Ass'y,Receiver,1,parts_12.csv
AXA-013,SX-727; SX-828,2,AXA-013-0,Dial shaft ass'y,Receiver,2,parts_12.csv
AXA-015,QX-747; QX-747A; QX-949; QX-949A; QX-9900; SX-1010; SX-434; SX-535; SX-626 (1973); SX-636; SX-838; SX-939; TX-6200; TX-7100; TX-8100; TX-9100,16,AXA-015; AXA-015-0; AXA-015-A,Dial pulley assembly; Tuning drum assembly; Tuning pulley; Tuning pulley assembly,Receiver; Tuner,16,parts_12.csv
AXA-016,QX-9900,1,AXA-016-0,Tuning shaft ass'y,Receiver,1,parts_12.csv
AXA-021,SX-434; TX-7100; TX-8100,3,AXA-021-0,Tuning shaft assembly,Receiver; Tuner,3,parts_12.csv
AXA-025,SX-535; SX-636; TX-6200,3,AXA-025-0,Dial shaft assembly; Tuning shaft assembly,Receiver; Tuner,4,parts_12.csv
AXA-027,TX-9100,1,AXA-027-A,Tuning shaft assembly,Tuner,1,parts_12.csv
AXA-032,SX-626 (1973),1,AXA-032-0,Tuning shaft assembly,Receiver,1,parts_12.csv
AXA-039,QX-747; QX-747A; QX-949; QX-949A,4,AXA-039; AXA-039-0,DIAL SHAFT ASSY; Tuning shaft assembly,Receiver,5,parts_12.csv
AXA-056,SX-1010; SX-838; SX-939,3,AXA-056-0,Tuning shaft assembly,Receiver,3,parts_12.csv
AXA-057,SX-737,1,AXA-057-0,Tuning shaft assembly,Receiver,1,parts_12.csv
AXA-058,SX-737,1,AXA-058-A,Tuning pulley assembly,Receiver,1,parts_12.csv
AXA-061,TX-5300,1,AXA-061-C,Tuning drum assembly,Tuner,1,parts_12.csv
AXA-066,SX-550; TX-5300,2,AXA-066; AXA-066-0,Dial pulley assembly; Tuning shaft assembly,Receiver; Tuner,2,parts_12.csv
AXA-070,SX-650; SX-750; TX-8500II; TX-9500; TX-9500II,5,AXA-070; AXA-070-C,Dial drum assembly; Tuning drum assembly,Receiver; Tuner,5,parts_12.csv
AXA-071,TX-9500,1,AXA-071-A,Tuning shaft assembly,Tuner,1,parts_12.csv
AXA-105,TX-6500II,1,AXA-105,Dial shaft assembly,Tuner,1,parts_12.csv
AXA-106,TX-6500II,1,AXA-106,Tuning drum assembly,Tuner,1,parts_12.csv
AXA-111,SX-1050; SX-850; SX-950,3,AXA-111,Tuning shaft assembly,Receiver,3,parts_12.csv
AXA-113,SX-1050; SX-1980; SX-3400; SX-580/590; SX-680/690; SX-780; SX-850; SX-880/890; SX-950,9,AXA-113,Dial pulley assembly; Tuning drum assembly,Receiver,9,parts_12.csv
AXA-114,TX-8500II; TX-9500II,2,AXA-114,Dial shaft assembly,Tuner,2,parts_12.csv
AXA-117,SX-450; SX-550,2,AXA-117,Tuning shaft assembly,Receiver,2,parts_12.csv
AXA-124,SX-650; SX-750,2,AXA-124,Tuning shaft assembly,Receiver,2,parts_12.csv
AXA-180,SX-1080,1,AXA-180,Dial shaft assembly,Receiver,1,parts_12.csv
AXA-184,SX-1980,1,AXA-184,Tuning shaft assembly,Receiver,1,parts_12.csv
AXA-188,SX-1280,1,AXA-188,Tuning shaft assembly,Receiver,1,parts_12.csv
AXA-191,F-28,1,AXA-191,Tuning drum assembly,Tuner,1,parts_12.csv
AXA-208,SX-580/590; SX-680/690,2,AXA-208,Dial shaft assembly; Tuning shaft assembly,Receiver,2,parts_12.csv
AXA-211,SX-780; SX-880/890,2,AXA-211,Tuning Shaft; Tuning shaft assembly,Receiver,2,parts_12.csv
AXA-215,F-28,1,AXA-215,Tuning shaft assembly,Tuner,1,parts_12.csv
AXA-228,TX-6800/608,1,AXA-228,Tuning shaft assembly,Tuner,1,parts_12.csv
AXA-240,SX-3400,1,AXA-240,Dial shaft assembly,Receiver,1,parts_12.csv
AXA-260,SX-3900,1,AXA-260,Tuning shaft assembly,Receiver,1,parts_12.csv
AXA-264,SX-3800,1,AXA-264,Dial shaft assembly,Receiver,1,parts_12.csv
AXA-274,SX-600; SX-600L; SX-700; SX-700L,4,AXA-274,Tuning shaft assembly,Receiver,4,parts_12.csv
AXA-290,SX-3500,1,AXA-290,Tuning shaft assembly,Receiver,1,parts_12.csv
AXA-290 (AXA-270),SX-3600/720,1,AXA-290 (AXA-270),Dial shaft assembly,Receiver,1,parts_12.csv
AXA-350,TX-130L; TX-530L,2,AXA-350,Tuning shaft assembly,Tuner,2,parts_12.csv
AXA-373,SX-202,1,AXA-373,Tuning shaft,Receiver,1,parts_12.csv
AXB-001,QX-4000; QX-646; QX-747; QX-747A; QX-8000; QX-8000A; QX-949A; SX-424; SX-434; SX-525; SX-535; SX-6000; SX-626 (1971); SX-626 (1973); SX-636; SX-727; SX-737; SX-838; SX-939; TX-5300; TX-6200; TX-7100; TX-7500; TX-900,24,AXB-001; AXB-001-0; AXB-001-A,AM Antenna Holder Ass'y; AM antenna holder assembly; AM ferrite loopstick antenna holder ass'y; ANTENNA HOLDER; Antenna holder assembly; Bar antenna holder assembly; Ferrite antenna holder assembly; Ferrite loopstick antenna holder; Ferrite loopstick antenna holder ass'y; Ferrite loopstick antenna holder assembly,Receiver; Tuner,24,parts_12.csv
AXB-004,SX-650; SX-750,2,AXB-004,Ferrite bar antenna; Ferrite bar-antenna,Receiver,2,parts_12.csv
AXB-006,SX-450; SX-550,2,AXB-006,"Bar-antenna assembly (KC); Ferrite bar antenna (KU,KC); Ferrite bar-antenna",Receiver,3,parts_12.csv
AXB-009,SX-850,1,AXB-009,Bar-antenna assembly,Receiver,1,parts_12.csv
AXB-010,SX-450; SX-550,2,AXB-010,Bar-antenna Assembly (HG); Ferrite Bar antenna (HG),Receiver,2,parts_12.csv
AXB-011,TX-6500II; TX-8500II; TX-9500II,3,AXB-011,Antenna hoIder; Antenna holder,Tuner,3,parts_12.csv
AXB-012,SX-1080; SX-1980; SX-680/690; SX-780; SX-880/890; SX-980; TX-6700; TX-6800/608; TX-7800; TX-9800,10,AXB-012,Antenna holder; Bar antenna holder; BRACKET F/ANTENNA SX750,Receiver; Tuner,10,parts_12.csv
AXC-001,A-7,1,AXC-001,Door mechanical assembly,Integrated Amplifier,1,parts_12.csv
AXC-003,A-9,1,AXC-003,Door mechanism assembly,Integrated Amplifier,1,parts_12.csv
AXC-008,A-8,1,AXC-008,DOOR,Integrated Amplifier,1,parts_12.csv
AXC-012,SA-530,1,AXC-012,Slide knob assembly,Integrated Amplifier,1,parts_12.csv
AXC-013,SX-4; SX-5; SX-6,3,AXC-013,Battery case; Battery case assembly,Receiver,3,parts_12.csv
AXC-019,SX-50; SX-60,2,AXC-019,Battery case,Receiver,2,parts_12.csv
AXD1049,GR-777,1,AXD1049,Remote control unit,Equalizer,1,parts_12.csv
AXD1171,C-72,1,AXD1171,Remote control unit,Pre-Amplifier,1,parts_12.csv
AXX1003,C-90,1,AXX1003,REMOTE SENSOR SDP40,Pre-Amplifier,1,parts_12.csv
AXX1005,GR-777,1,AXX1005,Remote control sensor unit,Equalizer,1,parts_12.csv
AZN1744,GR-777,1,AZN1744,Bonnet,Equalizer,1,parts_12.csv
B-21-011,QX-646,1,B-21-011-0,External tooth lock washer,Receiver,1,parts_12.csv
B01-263,H-R99,1,B01-263-A,"Screw, M3x 6",8-Track Tape,1,parts_12.csv
B01-267,H-R9000; H-R99,2,B01-267-A,"Screw, M3 x 14",8-Track Tape,2,parts_12.csv
B01-862,H-R9000,1,B01-862-A,"Screw, M3 X 5",8-Track Tape,1,parts_12.csv
B01-863,H-R9000; H-R99,2,B01-863-A,"Screw, M3 x 6; Screw, M3x 6",8-Track Tape,5,parts_12.csv
B01-864,H-R9000; H-R99,2,B01-864-A,"Screw, M3 x 8",8-Track Tape,2,parts_12.csv
B01-875,H-R9000; H-R99,2,B01-875-A,"Screw, M4 x 6; Screw, M4 x6",8-Track Tape,2,parts_12.csv
B02-013,H-R99,1,B02-013-A,"Screw, M3.1 X 10",8-Track Tape,1,parts_12.csv
B03-008,H-R9000,1,B03-008-A,"Screw, M215 X 4",8-Track Tape,1,parts_12.csv
B06-109,H-R9000; H-R99,2,B06-109-A,"Screw, M2.6 x 4; Screw, M25 x 4",8-Track Tape,2,parts_12.csv
B06-111,H-R9000; H-R99,2,B06-111-A,"Screw, M2.6 x 6; Screw, M2.6 X 6",8-Track Tape,2,parts_12.csv
B06-162,H-R9000; H-R99,2,B06-162-A,"Screw, M3 x 5",8-Track Tape,2,parts_12.csv
B06-168,H-R99,1,B06-168-A,"Screw, M3 X 6",8-Track Tape,1,parts_12.csv
B08-219,H-R9000; H-R99,2,B08-219-A,"Screw, M2.6 x 6; Screw, M2.6 X 6",8-Track Tape,2,parts_12.csv
B08-220,H-R9000,1,B08-220-A,"Screw, M2.6 x 8",8-Track Tape,1,parts_12.csv
B09-382,H-R9000; H-R99,2,B09-382-E,"Screw, M4 x 20",8-Track Tape,2,parts_12.csv
B1 l-012,QX-8000,1,B1 l-012-A,Screw for Grounding,Receiver,1,parts_12.csv
B10-203,H-R9000; H-R99,2,B10-203-A,"Screw, M2 x 5; Screw, M2 X 5",8-Track Tape,2,parts_12.csv
B10-204,H-R9000,1,B10-204-A,"Screw, M2 X 6",8-Track Tape,1,parts_12.csv
B10-205,H-R99,1,B10-205-A,"Screw, M2 x 8",8-Track Tape,1,parts_12.csv
B10-264,H-R9000,1,B10-264-A,"Screw, M3 x 8",8-Track Tape,1,parts_12.csv
B10-802,H-R99,1,B10-802-A,"Screw, M2 x 4",8-Track Tape,1,parts_12.csv
B10-863,H-R9000; H-R99,2,B10-863-A,"Screw, M3 X 6; Screw, M3 x 6; Screw, M3 x6",8-Track Tape,4,parts_12.csv
B10-864,H-R9000; H-R99,2,B10-864-A,"Screw, M3 x 8",8-Track Tape,2,parts_12.csv
B11-005,SA-500; SA-700; SA-900,3,B11-005-A,"Screw, to fix Metal case; Screw, to fix Metal Cover; Screw, to Fix Metal Cover",Integrated Amplifier,3,parts_12.csv
B11-012,CT-F6161; CT-F7171; CT-F7272; CT-F8282; CT-F9191; H-R9000; H-R99; QA-800; QA-800A; QC-800; QC-800A; QL-600; QL-600A; QM-800A; QT-6100; QT-6600; QT-74; QX-4000; QX-8000A; QX-9900; RT-1011L; RT-1020L; SA-1000; SA-500A; SA-600; SX-1500TD; SX-2500; SX-424; SX-525; SX-6000; SX-626 (1971); SX-727; SX-828,33,B11-012; B11-012-A,"Binding post; Binding post (for ground); Screw (GND); Screw for GND; Screw for GND Terminal; Screw for GND Termmal; Screw for grouding; Screw for ground; Screw for ground termianl; Screw for grounding; Screw for Grounding; Screw for Grounding Washer (Square); Screw, Grounding",8-Track Tape; Amplifier; Cassette Tape; Integrated Amplifier; Pre-Amplifier; Receiver; Reel To Reel Tape,33,parts_12.csv
B11-015,QC-800; SA-1000; SA-500A; SA-800; SX-1500TD,5,B11-015-0; B11-015-B,"Screw; Screw to fix Metal Cover; Screw to fix wooden case; Screw, to fix wooden case; Screw, to fix Wooden Case",Integrated Amplifier; Pre-Amplifier; Receiver,5,parts_12.csv
B11-016,SX-626 (1971); SX-727; SX-828,3,B11-016-B,Screw to fix wooden case; Screw to ﬁx wooden case,Receiver,3,parts_12.csv
B11-017,SX-2500,1,B11-017-A,Screw to fix Wooden Case,Receiver,1,parts_12.csv
B11-021,SX-1500T; SX-700T,2,B11-021-A; B11-021-B,"Screw to Fix Metal Cover; Screw, to fix metal case",Receiver,2,parts_12.csv
B11-022,SX-1000TA (Later); SX-1000TD; SX-1000TW; SX-440,4,B11-022-B; B11-022-E,"Screw to fix metal case; Screw to fix Wooden Case; Screw, to fix metal cover; Screw. to fix metal case",Receiver,4,parts_12.csv
B11-034,SA-5200; SD-1100,2,B11-034-0; B11-034-A,Metal cover fixing screw; Screw to fix bottom plate,Integrated Amplifier; Other,2,parts_12.csv
B11-037,PL-50; TX-9500,2,B11-037-0,Pan head screw M3x6 (pit-shaped); Screw,Tuner; Turntable,2,parts_12.csv
B11-041,QA-800; QM-800; SA-600; SX-424; SX-525,5,B11-041-A,Screw to fix wooden case; Set screws for wooden case,Amplifier; Integrated Amplifier; Receiver,5,parts_12.csv
B11-043,PL-A25,1,B11-043-0,Adjusting screw,Turntable,1,parts_12.csv
B11-044,PL-51; PL-51A; PL-71; PL-A45D,4,B11-044-C,Cartridge mounting screw 13mm; Screw,Turntable,4,parts_12.csv
B11-054,PL-15D; PL-A45,2,B11-054-0; B11-054-C,Screw,Turntable,2,parts_12.csv
B11-055,PL-A35; PL-A45D; PL-A505,3,B11-055-0; B11-055-C,Screw,Turntable,3,parts_12.csv
B11-603,PL-25/F,1,B11-603-0,Screw,Turntable,1,parts_12.csv
B11-607,H-R99,1,B11-607-0,"Screw, M2.6 x 5",8-Track Tape,1,parts_12.csv
B11-646,PL-25/F,1,B11-646-0,Screw,Turntable,1,parts_12.csv
B11-657,PL-50; PL-510; PL-510S; PL-71; PL-A35; PL-A45D; PL-A505,7,B11-657; B11-657-0; B11-657-A; B11-657-C,Cartridge mounting screw 11.5mm; Screw,Turntable,9,parts_12.csv
B11-678,H-R9000; H-R99,2,B11-678-0,"Screw, M2.6 x 14",8-Track Tape,2,parts_12.csv
B13-601,PL-50,1,B13-601-0,Screw,Turntable,1,parts_12.csv
B20-002,H-R9000; H-R99,2,B20-002-A,"Flat Washer, M2.6; Flat Washer, M25",8-Track Tape,2,parts_12.csv
B20-003,H-R99,1,B20-003-A,"Flat Washer, M3",8-Track Tape,1,parts_12.csv
B20-010,H-R9000; H-R99,2,B20-010-A,"Spring Washer, M2",8-Track Tape,2,parts_12.csv
B20-012,H-22,1,B20-012-B,Spring Lock Washer M3,8-Track Tape,1,parts_12.csv
B20-013,H-R9000; H-R99,2,B20-013-A,"Screw, M3.1 x 10; Spring Washer, M4",8-Track Tape,3,parts_12.csv
B20-074,H-R9000; H-R99,2,B20-074-L,"Fiber Washer, M3",8-Track Tape,2,parts_12.csv
B20-103,H-R9000; H-R99,2,B20-103-B,"E Fling, 2.5mm; E Ring, 2.5mm",8-Track Tape,2,parts_12.csv
B20-105,H-R9000; H-R99,2,B20-105-B,"E Ring, 3.2mm; E Ring, 3.2rnm",8-Track Tape,2,parts_12.csv
B20-111,H-R9000; H-R99,2,B20-111-B,"E Ring, 1.5mm",8-Track Tape,2,parts_12.csv
B20-126,H-R9000,1,B20-126-A,"E Ring, 8mm",8-Track Tape,1,parts_12.csv
B20-508,H-R9000; H-R99,2,B20-508-E,Stop Pin,8-Track Tape,2,parts_12.csv
B21-001,QM-800A,1,B21-001-0,Special washer,Amplifier,1,parts_12.csv
B21-008,PL-A35; QX-4000; QX-747; QX-9900; SD-1100; SX-2500; SX-626 (1973),7,B21-008-0; B21-008-A,"Boss; Boss for Printed Clrcuit Board; P.C. board holder; P.C. board holder    KCW, FW, FVZW, NBW; P.C. board holder    KCW, FW, FVZW, NNW; P.C. board holder    KCW, FW, FVZW. NBW",Other; Receiver; Turntable,25,parts_12.csv
B21-011,QA-800A; QC-800A; QX-747; QX-949; SA-1000; SA-5200; SX-1010; SX-434; SX-535; SX-626 (1973); SX-636; SX-737; SX-838; SX-939; TX-5300,15,B21-011-0; B21-011-A; B21-011-O,Claw washer; Special washer (square); Tooth washer; Washer; Washer (square),Integrated Amplifier; Pre-Amplifier; Receiver; Tuner,15,parts_12.csv
B21-601,PL-25/F,1,B21-601-0,Washer,Turntable,1,parts_12.csv
B21-659,PL-A25; PL-A35; PL-A45; PL-A45D,4,B21-659-0,Spacer,Turntable,4,parts_12.csv
B21-660,PL-A25,1,B21-660-A,Tray type washer,Turntable,1,parts_12.csv
B21-661,PL-A25; PL-A35; PL-A45; PL-A45D,4,B21-661-0,Washer; Washer special,Turntable,4,parts_12.csv
B21-667,PL-A25,1,B21-667-0,Hinge plate,Turntable,1,parts_12.csv
B22-009,SA-5200,1,B22-009-0,Washer (11ø),Integrated Amplifier,1,parts_12.csv
B22-012,TX-5300,1,B22-012 -0,Flat washer,Tuner,1,parts_12.csv
B22-013,TX-6800/608,1,B22-013,Flat washer,Tuner,1,parts_12.csv
B22-016,SA-5200; SX-535; TX-9500,3,B22-016-0,Flat washer 9ɸ; Washer; Washer (0.5t),Integrated Amplifier; Receiver; Tuner,4,parts_12.csv
B22-017,TX-9500,1,B22-017-0,Flat washer 11ɸ,Tuner,1,parts_12.csv
B22-026,PL-15D; PL-500; PL-500X; PL-A35; PL-A45; PL-A45D; PL-A505; PL-L1000,8,B22-026; B22-026-0,Washer,Turntable,8,parts_12.csv
B22-032,QX-4000,1,B22-032-0,Pilot lamp,Receiver,1,parts_12.csv
B22-420,QT-74; RT-1011L,2,B22-420-0,Washer (3ɸ) BN 1; Washer 3ɸ BN1,Reel To Reel Tape,2,parts_12.csv
B22-422,CT-F6161; RT-1011L,2,B22-422-0,Nylon washer 4.2øx80x0.5t mm; Nylon washer 4.2øx8øx 0.5t mm; Washer 4ɸ BN1,Cassette Tape; Reel To Reel Tape,3,parts_12.csv
B22-423,QT-74,1,B22-423-0,Washer (5ɸ) BN 2; Washer (5ɸ) BN2,Reel To Reel Tape,2,parts_12.csv
B22-424,QT-6600; QT-74; RT-909,3,B22-424; B22-424-0,Nylon washer; Washer (54)) BN 1; Washer (5ɸ) BN 1; Washer (5ɸ) BN1; Washer 5o,Reel To Reel Tape,6,parts_12.csv
B22-425,RT-1011L; RT-1020L,2,B22-425-0,Washer; Washer 6ɸ BN 2; Washer 6ɸ BN2; Washer BN2,Reel To Reel Tape,6,parts_12.csv
B22-426,RT-1011L; RT-1020L,2,B22-426-0,Washer 6ɸ BN 1; Washer 6ɸ BN1; Washer ɸ6 BN 1,Reel To Reel Tape,18,parts_12.csv
B22-602,PL-50; PL-55/55D,2,B22-602-0,Washer (A),Turntable,2,parts_12.csv
B22-603,PL-50; PL-55/55D,2,B22-603-0,Washer (B),Turntable,2,parts_12.csv
B22-604,PL-25/F,1,B22-604-0,Washer (A),Turntable,1,parts_12.csv
B22-605,PL-25/F,1,B22-605-0,Washer (B),Turntable,1,parts_12.csv
B22-606,PL-25/F,1,B22-606-0,Washer (C),Turntable,1,parts_12.csv
B22-607,PL-25/F,1,B22-607-0,Washer (G); Washer (P),Turntable,2,parts_12.csv
B22-610,PL-25/F,1,B22-610-0,Washer (H),Turntable,1,parts_12.csv
B22-612,PL-25/F; PL-A25; PL-A35; PL-A45,4,B22-612-0,Retaining washer E-type; Washer (M),Turntable,6,parts_12.csv
B22-614,PL-25/F,1,B22-614-0,Washer (F),Turntable,1,parts_12.csv
B22-632,PL-50; PL-55/55D,2,B22-632-0,Nut; Washer,Turntable,2,parts_12.csv
B22-640,PL-A25,1,B22-640-0,Washer,Turntable,1,parts_12.csv
B22-641,PL-A25,1,B22-641-0,Washer special,Turntable,1,parts_12.csv
B22-642,PL-A25; PL-A35; PL-A45; PL-A45D,4,B22-642-0,Washer,Turntable,4,parts_12.csv
B22-643,PL-A25; PL-A35; PL-A45; PL-A45D,4,B22-643-0,Washer,Turntable,4,parts_12.csv
B22-646,PL-50; PL-71,2,B22-646-0,Washer; Washer ring,Turntable,2,parts_12.csv
B22-650,PL-12E; PL-15D; PL-A25; PL-A35; PL-A45; PL-A45D,6,B22-650-0,Flat washer for center shaft; Washer,Turntable,6,parts_12.csv
B23-405,RT-1020L,1,B23-405-A,Bushing,Reel To Reel Tape,1,parts_12.csv
B23-601,PL-50; PL-55/55D,2,B23-601-0,Washer (C),Turntable,2,parts_12.csv
B23-602,PL-50; PL-55/55D,2,B23-602-0,Washer (D),Turntable,2,parts_12.csv
B23-613,PL-25/F,1,B23-613-0,Washer (N),Turntable,1,parts_12.csv
B23-614,PL-50,1,B23-614-0,Washer (SPEED SELECTOR SWITCH),Turntable,1,parts_12.csv
B23-615,PL-50,1,B23-615-0,Washer (SPEED SELECTOR SWITCH),Turntable,1,parts_12.csv
B23-629,PL-A25; PL-A35; PL-A45; PL-A45D,4,B23-629-0,Teflon washer; Washer teflon,Turntable,4,parts_12.csv
B23-635,PL-55/55D,1,B23-635-0,Teflon washer,Turntable,1,parts_12.csv
